pi_name,organization,project_title,award_amount,start_date,award_date,abstract
"BUTLER, JASON MATHEW",,Netrin-1 promotes the expansion and function of human hematopoietic stem cells by supporting a pro-hematopoietic vascular niche,294959,,2026-02-09T00:00:00,"PROJECT SUMMARY
Adult hematopoietic stem cells (HSCs) are defined by their ability to undergo self-renewal and maintain the
capacity to generate all the types of mature hematopoietic cells within the blood and immune system. The
ultimate objective of the proposed research plan described herein is to establish a novel HSC expansion platform
to enable treating more patients with life-threatening disorders of blood and bone marrow than is currently
possible. This proposal seeks to greatly expand the availability of suitable donors for hematopoietic stem cell
transplantation (HSCT) and limit the duration of post-transplant cytopenia, which is the leading cause of
treatment-related death following HSCT. To tackle this issue, we have developed a novel physiological vascular
niche platform for ex vivo expansion of human HSCs with unprecedented potential to accelerate hematopoietic
recovery and avoid life-threatening infection and hemorrhage in patients treated with myeloablative or
myelosuppressive therapies. Our novel ex vivo HSC expansion technology will hopefully shorten the duration of
hospitalization and reduce the high of HSCT therapy. Indeed, this platform was successfully tested in a recently
completed Phase I clinical trial (Identifier: NCT03483324). The current research plan aims to build upon our
recent discoveries that the vascular niche provides the instructional cues that enable large-scale expansion of
HSCs, while preserving their self-renewal capabilities. We propose to utilize a pro-HSC factor we recently
discovered (PMID: 37037837), Netrin-1 (NTN1), to supplement our vascular niche/HSC co-culture assay to
enhance the functional output of ex vivo expanded human HSCs. This proposal will determine if NTN1 can
support the function of human blood products and begin to define novel angiocrine factors from a humanized in
vivo BM vascular niche that support human HSC and vascular function. To this end, we will: 1) determine if
supplementation of NTN1 improves the ex vivo expansion and in vivo engraftment of human HSPCs, 2)
determine if blocking NTN1 signaling interferes with the function of ex vivo expanded and transplanted HSPCs,
3) determine if NTN1 signaling support vascular function human hematopoietic recovery following
myelosuppressive insult, and 4) begin to identify candidate pro-HSC angiocrine factors from human ECs that
can improve human HSC function. The proposed experiments represent a continuum of pre-clinical research,
aimed at ultimately investigating the transplantation of expanded long-term repopulating HSCs in patients who
may benefit from an autologous BM or umbilical cord blood grafts. Successful HSC expansion will ultimately
extend access to HSCT for patients requiring a curative HSC replacement. Accomplishing these objectives will
ultimately benefit underserved patient populations, including ethnic and racial minorities as well as older patients
who lack suitably human leukocyte antigen matched sibling or adult unrelated volunteer donors for hematopoietic
transplantation and patients requiring engineered, engraftable HSCs for the correction of genetic disorders, but
for whom the number of available autologous HSCs is suboptimal."
"CALLAHAN, MARGARET KATHLEEN",,"Understanding Immunotype, a Novel Biomarker for Checkpoint Blockade Resistance",497480,,2026-02-13T00:00:00,"ABSTRACT
An estimated 44% of patients with cancer in the United States are eligible to receive immune checkpoint blockade
(ICB). FDA-approved ICB agents include α-PD-1 and α-CTLA-4 antibodies, but the majority of patients do not
benefit because their tumors are resistant to these agents. ICB treatment is expensive and may lead to serious
toxicity. Prospective identification of patients with ICB-resistant cancers would reduce unnecessary risk and cost
and give patients opportunities to seek more appropriate treatment options. To address the unmet need for a
peripheral blood biomarker for ICB effectiveness, we performed immune profiling of ICB-treated patients with
melanoma, using multiparametric flow cytometry to characterize immune cells in pretreatment peripheral blood.
Our analyses revealed a new peripheral blood immune profile—which we called Immunotype-1 (IT-1), defined
in part by the presence LAG-3+CD8+ T cells—as a promising biomarker of ICB resistance. This finding was
validated in an independent dataset of metastatic urothelial cancer. Patients with IT-1 have inferior overall
survival, progression-free survival, and response rates to α-PD-1 blockade. Leveraging our leadership in the
clinical development of ICBs, we have assembled one of the largest biobanks of peripheral blood samples from
>600 ICB-treated patients across cancer types. In this proposal, we aim to test the hypothesis that IT-1 is a pan-
cancer biomarker for ICB, reflecting an exhausted, tumor-specific LAG-3+CD8+ T cell population whose function
can be recovered for therapeutic benefit using α-LAG-3 blockade. The Specific Aims are to: 1) Phenotypically
and functionally characterize the peripheral blood LAG-3+CD8+ T cell population and determine if this population
is represented in the tumor microenvironment in patients with the IT-1 phenotype; 2) Determine the association
between IT-1 and clinical outcome in ICB-treated patients across cancer types; and 3) Assess whether IT-1
identifies patients who will respond to relatlimab (α-LAG-3) + nivolumab (α-PD-1). Our project is rooted in strong
clinical data and thus likely to identify a biomarker that is mechanism-based, clinically implementable, and most
importantly, therapeutically actionable."
"CAO, ERHU ",,Structures and Pharmacology of Cation-Chloride Cotransporters,680627,,2026-02-09T00:00:00,"Project Summary
Human cation-chloride cotransporters (CCCs) consist of three Na+-dependent Na+-(K+)-Cl- (NCC and NKCC1-
2) and four Na+-independent K+-Cl− (KCC1-4) transporters. CCCs drive the symport of Cl- with Na+ and/or K+
across membrane and play pivotal roles in cell volume regulation, trans-epithelia ion movement, and regulation
of intracellular Cl- concentration ([Cl-]i) and neuronal excitability. CCCs are profoundly regulated by the opposing
actions of WNKs-SPAK kinases and phosphatases. Intriguingly, N(K)CC and KCCs exhibit inverse phosphoreg-
ulatory mechanism, with the former activated and the latter inhibited by phosphorylation. In the kidneys, NKCC2
and NCC reabsorb ions from the forming urine, maintaining electrolyte balance, blood volume, and pressure.
Mutations in NCC, NKCC2, or WNKs and their upstream E3 ubiquitin ligase degraders lead to hypotensive dis-
orders (Gitelman and Batter syndromes) or Familial Hyperkalemic Hypertension. CCCs have been prolific targets
for FDA-approved drugs. Loop and thiazide diuretics inhibit NKCC2- and NCC-mediated renal salt retention,
respectively, and have been cornerstones in the treatment of hypertension and edema since the 1950s. How-
ever, loop diuretics also inhibit NKCC1 and KCCs, and this off-target antagonism can cause temporary or even
permanent hearing loss. In the brain, NKCC1 and KCC2/3 are the major Cl- loader and extruders, respectively.
Their balanced actions set [Cl-]i away from electrochemical equilibrium, allowing inhibitory neurotransmitters to
evoke either inward depolarizing or outward hyperpolarizing Cl- currents via ligand-gated anion channels. Muta-
tions in KCC2/3 cause seizures, epilepsy, and other brain disorders, likely due to an imbalance in excitatory
versus inhibitory synaptic transmission resulting from deranged [Cl-]i. Pharmacological modulation of NKCC1
and KCC2/3 transport activities is therefore a promising strategy to restore synaptic inhibition and treat numerous
brain disorders. Finally, CCCs are expected to be regulated by and signal through associated protein partners,
but such decisive CCC regulators and effectors remain to be discovered. Here we propose to determine struc-
tures of CCCs using cryo-EM and perform associated biochemical and functional studies to elucidate: i) how
diverse chemical classes of loop diuretics bind to and form chemical bonds with the therapeutic target NKCC2
and the off-target KCC3; ii) why (de)phosphorylation inversely regulates NKCC2 versus KCCs; and iii) how KCC3
is regulated by and signals through a novel partner that we discovered via proteomics and validated by deter-
mining its co-structure with KCC3. In parallel, we have developed robust ion flux assays to accelerate CCC
structure-function relationship studies. In the longer term, these functional assays could evolve into high-through-
put screening platforms for the discovery of compounds and biologics. Such pharmacological agents could be
used to probe the structures and functions of CCCs and serve as drug leads for treating hypertension, edema,
and brain disorders. Overall, our multidisciplinary approaches will help decipher the inner workings of CCCs and
facilitate the rational targeting of these transporters for the treatment of numerous CCC-associated disorders."
"CAPPELLO, MICHAEL ",,Translational studies of hookworm infection in Ghana,695579,,2026-02-09T00:00:00,"PROJECT SUMMARY
Hookworm infection is a leading cause of malnutrition and growth delay in poor countries, especially in sub-
Saharan Africa where millions of people are infected with Necator americanus. Data from human studies
suggest chronic hookworm infection also impairs routine vaccine efficacy and exacerbates other globally
important, co-endemic infectious diseases. Current strategies to control hookworm rely primarily on Mass Drug
Administration of standard anthelminthic drugs, although recent evidence calls into question the long-term
effectiveness of this approach to control and eliminate hookworm in endemic populations. Since 2007, Yale
University and the Noguchi Memorial Institute for Medical Research at the University of Ghana have
collaborated to characterize the epidemiology of hookworm infection in endemic communities. The longitudinal
field study proposed in Aim 1 will further probe the epidemiology of hookworm by defining risk factors for
infection, response to deworming, and reinfection following treatment in the Bono East Region, Ghana.
Experiments outlined in Aim 2 will be focused on characterizing changes in the frequency of resistance
associated mutations in the N. americanus β-tubulin gene using Next Generation Sequencing methods, as well
as the impact of drug pressure on genetic diversity and the population genetics of human hookworms in
Beposo. Critical to the detailed study of hookworm pathogenesis is the availability of a facile animal model that
is both reproducible and accurately reflects the major clinical features of human disease. Little is known about
N. americanus strains originating from populations in Africa, resulting in a significant gap in our understanding
of hookworm biology, genomics and evolution. Building on experience in maintaining the laboratory model of
Ancylostoma ceylanicum hookworms, field isolates of N. americanus cultured from study subjects in Ghana in
2019 have been used to establish patent infections in hamsters. In the experimental studies outlined in Aim 3,
clinical parameters and the kinetics of primary infection with the Ghana strain of N. americanus will be fully
characterized in the hamster model. Cellular, humoral and mucosal antibody responses to primary infection,
reinfection and vaccination with hookworm proteins will be defined. In addition, novel proteomic methods will be
applied to define human antibody profiles that correlate with infection status, intensity and risk of reinfection.
The overarching goals of the research outlined in this proposal are (1) to identify factors associated with
hookworm infection among people living in Beposo, Ghana, (2) to characterize the impact of deworming
pressure on drug resistance markers and genetic diversity of hookworms in Ghana and (3) to characterize the
first laboratory adapted African strain of N. americanus and optimize its utility for the study of human hookworm
epidemiology, pathogenesis and vaccine development. Results from these innovative studies will enhance our
understanding of hookworm pathogenesis in Africa and inform future development of public health tools to
reduce the global burden of this neglected tropical disease."
"CAPPELLO, MICHAEL ",,Translational studies of hookworm infection in Ghana,84829,,2026-02-11T00:00:00,"PROJECT SUMMARY
Hookworm infection is a leading cause of malnutrition and growth delay in poor countries, especially in sub-
Saharan Africa where millions of people are infected with Necator americanus. Data from human studies
suggest chronic hookworm infection also impairs routine vaccine efficacy and exacerbates other globally
important, co-endemic infectious diseases. Current strategies to control hookworm rely primarily on Mass Drug
Administration of standard anthelminthic drugs, although recent evidence calls into question the long-term
effectiveness of this approach to control and eliminate hookworm in endemic populations. Since 2007, Yale
University and the Noguchi Memorial Institute for Medical Research at the University of Ghana have
collaborated to characterize the epidemiology of hookworm infection in endemic communities. The longitudinal
field study proposed in Aim 1 will further probe the epidemiology of hookworm by defining risk factors for
infection, response to deworming, and reinfection following treatment in the Bono East Region, Ghana.
Experiments outlined in Aim 2 will be focused on characterizing changes in the frequency of resistance
associated mutations in the N. americanus β-tubulin gene using Next Generation Sequencing methods, as well
as the impact of drug pressure on genetic diversity and the population genetics of human hookworms in
Beposo. Critical to the detailed study of hookworm pathogenesis is the availability of a facile animal model that
is both reproducible and accurately reflects the major clinical features of human disease. Little is known about
N. americanus strains originating from populations in Africa, resulting in a significant gap in our understanding
of hookworm biology, genomics and evolution. Building on experience in maintaining the laboratory model of
Ancylostoma ceylanicum hookworms, field isolates of N. americanus cultured from study subjects in Ghana in
2019 have been used to establish patent infections in hamsters. In the experimental studies outlined in Aim 3,
clinical parameters and the kinetics of primary infection with the Ghana strain of N. americanus will be fully
characterized in the hamster model. Cellular, humoral and mucosal antibody responses to primary infection,
reinfection and vaccination with hookworm proteins will be defined. In addition, novel proteomic methods will be
applied to define human antibody profiles that correlate with infection status, intensity and risk of reinfection.
The overarching goals of the research outlined in this proposal are (1) to identify factors associated with
hookworm infection among people living in Beposo, Ghana, (2) to characterize the impact of deworming
pressure on drug resistance markers and genetic diversity of hookworms in Ghana and (3) to characterize the
first laboratory adapted African strain of N. americanus and optimize its utility for the study of human hookworm
epidemiology, pathogenesis and vaccine development. Results from these innovative studies will enhance our
understanding of hookworm pathogenesis in Africa and inform future development of public health tools to
reduce the global burden of this neglected tropical disease."
"CASKEY, CHARLES F",,Next generation transcranial ultrasound-based neuromodulation using phase shift nanoemulsions,765144,,2026-02-10T00:00:00,"Project Summary
 This proposal responds to PAR-22-039 and aims to develop focused ultrasound (FUS) as a next
generation high precision device-based pharmacological neuromodulation tool and evaluate its use in non-
human primates as a translational step to humans. Current device-based neuromodulation technologies rely
on interaction with cells’ endogenous sensitivities to different forms of energy. Although FUS alone overcomes
spatial and depth limitations of other non-invasive neuromodulation modalities, the diverse response of cells to
FUS presents a limitation and can make predictable neuromodulation difficult. We seek to move beyond the
paradigm of modulating via endogenous sensitivity by developing FUS in combination with phase shift
nanoemulsions (PSNEs)—200 nm liquid particles that can carry a drug payload and become microbubbles
when exposed to brief (<1 msec) FUS pulses above a threshold. By developing FUS combined with PSNEs,
we will be able to predictably modulate millimeter-scale regions throughout the brain by either locally
enhancing blood brain barrier (BBB) permeability and injecting a drug or by releasing drugs from PSNEs
loaded with a drug. We propose a research plan that will move these technologies forward in the non-human
primate as an important translational step to humans. We first propose to develop an ultrasound transducer
that will decrease the focal spot size including receive elements that will allow us to map particle activation
through the skull. We will integrate the transducer into a FUS neuromodulation system built by our team under
the BRAIN Initiative and develop open-source software that will improve treatment planning for FUS
neuromodulation. We will apply this system to open the BBB in the sensorimotor region by activating PSNEs,
driving the resultant microbubble and injecting the inhibitory drug GABA, which does not cross the unopened
BBB in concentrations high enough to inhibit neurons. Because opening the BBB is not desirable in many
scenarios, we will also develop activatable drug-loaded PSNEs to locally deliver the anesthetic sodium
pentobarbital without opening the BBB. We will characterize the inhibitory effect of both neuromodulation
methods using BOLD fMRI and assess safety using neuroimaging and behavioral analysis. Our
multidisciplinary team has all expertise for MR-guided FUS with fMRI feedback and will collaborate with co-
investigator Dayton whose laboratory developed a condensation-based PSNE formulation that uses the same
excipients as commercially approved contrast agents. The acoustic technologies we propose to develop would
improve the spatial capabilities of FUS neuromodulation and explore two approaches for focal pharmacological
neuromodulation in the monkey including safety assessments that pave the way for translation."
"CHANDLER, JOSHUA D",,Neutrophil hyperexocytosis and hypochlorous acid exposure in early cystic fibrosis lung disease,383936,,2026-02-11T00:00:00,"PROJECT SUMMARY / ABSTRACT
Current standard of care for cystic fibrosis (CF) does not include drugs unequivocally effective at curbing
airway inflammation, in contrast to crucial gains made in correcting defects in the CF transmembrane
conductance regulator (CFTR) via highly effective modulator therapy (HEMT) and an array of antimicrobial
drugs. Effectively treating exuberant neutrophil-dominated inflammation in CF, particularly in the earliest stages
of the disease, is a critical goal because doing so would increase patient lifespan and health span. This project
is designed to test the hypothesis that neutrophil hyperexocytosis, which occurs in CF from a very young age,
is a critical event that releases active myeloperoxidase (MPO) from neutrophil granules and enables the
generation of extracellular hypochlorous acid (HOCl), a strong and promiscuous oxidant that can damage cells.
We further hypothesize that the released MPO becomes associated with extracellular vesicles (EVs), providing
MPO with sustained metabolism to fuel its HOCl-generating activity and conferring resistance to inhibitors.
Ultimately, we hypothesize that increased airway HOCl injures airway epithelial cells (AECs) and promotes
maladaptive cellular responses that contribute to bronchiectasis. Research from our group has shown that
MPO is active in CF airways from the earliest stages of disease and is associated with initial manifestations of
bronchiectasis. Furthermore, we have identified molecular products of HOCl exposure, such as methionine
sulfoxide, that can be monitored by LC-MS across a broad range of biological specimens, including basic and
translational models and clinical samples. Using state-of-the-art LC-MS, rigorous cell-, protein-, and EV-
detection methods, highly translational models of neutrophils and EVs, and clinical sample validation, this
project sets out a series of parallel experiments designed to identify the sequence of events leading from
neutrophil transmigration into CF airways, to active MPO release and extracellular HOCl generation, to CF
AEC injury and maladaptation to the potent oxidative insult. These experiments are enumerated in the
following Specific Aims: (1) Determine the impact of hyperexocytosis on extracellular HOCl and innate
defense; (2) Determine mechanisms of granule-releasing, immunomodulatory, and metabolically active (GRIM)
neutrophil EV-based HOCl production; and (3) Determine mechanisms of CF airway epithelial cytotoxicity
mediated by MPO and HOCl. Furthermore, these experiments account for potential impacts of novel HEMT
therapy elexacaftor-tezacaftor-ivacaftor (ETI) in inflammatory pathways by comparing CF sputum samples with
HEMT to the same samples from donors not receiving ETI. The ultimate goal of the proposed studies is to
generate knowledge informing clinical and drug development research and forestall CF lung disease
progression at the earliest stages and before end organ damage. Furthermore, owing to the prevalence of
GRIM neutrophils in a number of lung diseases beyond CF, information pertinent to other lung diseases
including neutrophil inflammation will also be gained by the completion of this project."
"CHEN, SHIYOU ",,Targeting response gene to complement 32 to alleviate vascular remodeling,622225,,2026-02-12T00:00:00,"Summary/Abstract:
Vascular remodeling is a fundamental pathological process occurring in artery wall during the development of
numerous vascular diseases including artery restenosis following angioplasty and bypass surgery, hypertension,
organ transplantation, atherosclerosis, and pulmonary arterial hypertension (PAH). Emerging evidence indicates
that endothelial-mesenchymal transition (EndoMT) plays a critical role in the initiation and progression of
vascular remodeling. However, the molecular mechanisms underlying the EndoMT process remain largely
unknown. Preliminary studies indicate that response gene to complement 32 (RGC-32) is a novel protein factor
essential for the EndoMT of pulmonary artery endothelial cells (PAECs). RGC-32 is induced by transforming
growth factor (TGF)-β1 and hypoxia treatment. Knockdown of RGC-32 blocks while overexpression of RGC-32
exacerbates transforming growth factor (TGF)-β1-induced EndoMT of human PAECs. In vivo, RGC-32 is
induced predominantly in PAECs of human PAH patients and hypoxia-induced PAH mice. RGC-32 deficiency
(Rgc32-/-) attenuates the hypoxia-induced PAH as evidenced by the reduction of right ventricular systolic
pressure, pulmonary vascular remodeling, and right ventricle hypertrophy in hypoxia-treated Rgc32-/- mice.
Rgc32-/- also alleviates the EndoMT that is correlated with the blockade of PAH, as shown by the restoration of
endothelial marker VE-cadherin and CD31 and the suppression of mesenchymal cell marker N-cadherin and
vimentin. These exciting data strongly support a novel hypothesis that RGC-32 promotes PAH development by
facilitating EndoMT of PAECs. PAH is a rapidly progressive and currently incurable disease characterized by
sustained increase in pulmonary vascular resistance, vascular remodeling, and right ventricular (RV) hypertrophy
and failure. Pharmacotherapeutic efforts fail to reverse the disease development, and the prognosis of PAH
remains poor with a 5-year survival rate of < 70%. Therefore, identifying novel therapeutic targets is clinically
urgent. Preliminary studies suggest that RGC-32 is a potentially novel therapeutic target for PAH. Thus, a
combination of pulmonary arterial endothelial cells and animal PAH models along with molecular, cellular,
histological, and genetic approaches will be used to 1) determine the molecular mechanisms by which RGC-32
regulates EndoMT of PAECs, and 2) delineate the endothelial cell-specific roles of RGC-32 in PAH and EndoMT
of PAECs in vivo. Successful completion of the proposed studies will advance our fundamental knowledge and
understanding of the molecular mechanisms governing the development of PAH by establishing RGC-32 as a
novel regulator for EndoMT of PAECs and PAH. The outcome of the project will also identify a highly promising
drug target for future therapeutic intervention to combat PAH in clinic."
"CHENG, GUANG-SHING ",,Longitudinal Impact of Respiratory Viruses on Bronchiolitis Obliterans Syndrome in Allogeneic Hematopoietic Cell Transplant Recipients,703183,,2026-02-12T00:00:00,"PROJECT SUMMARY/ABSTRACT
Bronchiolitis obliterans syndrome (BOS) is the most severe manifestation of chronic graft-versus-host disease
(cGVHD) in survivors of allogeneic hematopoietic cell transplant (alloHCT), leading to irreversible pulmonary
impairment, poor quality of life, and 5-year survival of 40%. Fundamental gaps in knowledge of the pathogenic
events that contribute to progressive lung dysfunction in BOS have not been well characterized, hampering our
ability to intervene effectively. Our preliminary data suggest that respiratory viruses, including respiratory
syncytial virus (RSV), parainfluenza (PIV), human metapneumovirus (HMPV), and influenza (FLU), are
independent risk factors for the development of BOS. Additionally, we show that asymptomatic respiratory viral
infections (RVI) are common posttransplant. We have shown that mobile wireless home spirometry is feasible
in patients with cGVHD and can enable early diagnosis and a granular understanding of the trajectory of lung
function decline. Our overarching hypothesis is that cumulative respiratory viral exposure leads to the
development of BOS and poor outcomes in the context of alloimmunity. The overall aim of this proposal is
to establish the temporal relationship between RVI along the continuum of disease presentations, from
asymptomatic to symptomatic upper respiratory tract to lower tract disease, and the lung function trajectory of
BOS. We propose to conduct a multicenter prospective longitudinal study of the natural history of RVI and lung
function with an innovative home monitoring approach that overcomes the barriers to understanding clinical
events that lead to BOS and severe BOS phenotypes. Aim 1 investigates the role of RVI as triggers BOS. We
will enroll alloHCT recipients at risk for BOS (Cohort 1, n=200), including those with a diagnosis of cGVHD or a
history of high-risk RVI (RSV/PIV/HMPV/Flu/SARS-CoV2). Patient will perform weekly home spirometry and
protocolized surveillance and symptom-prompted self-collected nasal swab viral PCR. In addition, serum will be
collected quarterly via a needle-less home blood collection kit and assayed with VirScan, a novel comprehensive
serosurvey that detects epitopes of >1000 virus strains, in order to assess the impact of cumulative respiratory
viral burden on BOS outcomes. Aim 2 examines the role of RVI on pulmonary exacerbations in BOS, as well as
the association of cumulative RVI exposure (as determined by VirScan) on accelerated FEV1 decline in patients
with a severe BOS phenotype. Patients with a clinical diagnosis of BOS (Cohort 2, n=80), will perform the same
procedures as Cohort 1. For both aims, viral PCR and VirsScan results will be compared and analyzed as
predictors for BOS development or accelerated FEV1 decline. The critical data generated by this study will
improve recognition of early BOS in the context of RVI, risk stratify patients at highest risk for intensive
monitoring, and identify tangible endpoints and biologic rationale for testing early interventions and novel
therapies. Importantly, this proposal will also establish a unique adult and pediatric multicenter Consortium with
the specific goal of addressing lung disease in HCT recipients, an area of significant and urgent unmet need."
"CHIOU, SHIN-HENG ",,Elucidation of hypoxia-induced metastatic reprogramming through the regulation of KDM8 function in pancreatic cancer,432651,,2026-02-09T00:00:00,"ABSTRACT
Pancreatic ductal adenocarcinoma (PDAC) is one of the deadliest malignancies. Full transcriptome defines
clinically relevant “subtypes” of disease and the basal-like subtype of PDAC is associated with advanced
stage, metastasis, resistance to treatment, and poor patient survival. The mechanism by which the tumor
microenvironment drives PDAC subtype differentiation remains uncharacterized. Understanding the cancer-
extrinsic factors in the tumor microenvironment that promotes the basal-like state could uncover cancer
vulnerabilities and lead to the development of new therapeutic approaches. We found that inactivation of the
histone demethylase gene Kdm8 reprograms PDAC cells into a highly metastatic state. Morphologically, Kdm8
inactivation reduces the expression of genes defining the classical PDAC subtype and drives a profound loss
of differentiation in a genetically engineered PDAC mouse model. Importantly, the enzymatic function of Kdm8
requires molecular oxygen and hypoxia diminished the phenotypic changes induced by Kdm8 inactivation. We
noted a global upregulation of histone 3 lysine 27 (H3K27) trimethylation upon the inactivation of Kdm8,
supporting the involvement of its demethylase function in regulating the chromatin and cell state. In human
PDAC, KDM8-regulated gene signatures are an exceptionally good predictor of the disease subtype. Our
preliminary results suggest that hypoxia within the tumor microenvironment restricts the demethylase function
of Kdm8, thereby suppressing the classical PDAC subtype while promoting a basal-like state and metastasis
through epigenetic reprogramming. We hypothesize that a hypoxia-KDM8-chromatin axis plays a critical role in
PDAC subtype determination and metastatic ability.
In the proposed study, we aim to determine the mechanism by which Kdm8 controls PDAC subtypes and
metastatic progression and the mechanism by which hypoxia suppresses Kdm8 function to promote chromatin
reprogramming and PDAC metastasis. Overall, our study will fill the major gap in our understanding of how
hypoxia within the PDAC tumor microenvironment promotes the basal-like molecular subtype and metastasis.
Our mechanistic study will uncover fundamental insights into the role of KDM8 in subtype determination and
may discover novel vulnerabilities of the basal-like PDAC state. The long-term objective is to gain a better
understanding of the key cell-extrinsic factors in the tumor microenvironment that promote the aggressive or
basal-like PDAC subtypes."
"CHO, MICHAEL H.",,Uncovering the genetically-driven differential susceptibility to chronic obstructive pulmonary disease and pulmonary fibrosis,761983,,2026-02-09T00:00:00,"ABSTRACT
Chronic obstructive pulmonary disease (COPD) and idiopathic pulmonary fibrosis (IPF) are two devastating
chronic lung diseases associated with aging and with a common environmental risk factor, cigarette smoking,
but with differing physiology and pathology, which may be due to genetics. Our group has led two large-scale
COPD genome-wide association studies (GWASs), identifying five loci (near FAM13A, DSP, MAPT-KANSL1,
ZKSCAN1, and STN1) where the genetic variant alleles associated with an increased COPD risk are associated
with a decreased IPF risk. These opposite risk loci may reside in regulatory elements that act as “molecular
switches” in disease-relevant cell types that impact gene expression to shunt biologic processes toward
producing a COPD or IPF end-phenotype. However, GWASs do not directly implicate the functional
consequence of genetic variants or the effector genes, cell types, or gene regulatory networks through which the
genetic variants are acting. MicroRNAs, which have been implicated in the pathogenesis of both COPD and IPF,
modulate gene expression levels and may impact the gene regulatory networks at the opposite risk loci. The
goal of this project is to define COPD/IPF opposite risk loci and describe the functional mechanisms, effector
genes, and relevant lung cell types through which these opposite risk loci are acting. We hypothesize that
opposite risk genetic loci for COPD and IPF are due to shared causal variants acting as molecular switches
through regulatory elements affecting gene expression in specific lung cell types. Furthermore, we hypothesize
that these molecular switches are marked by discrete microRNA and RNA differences as well as divergent gene
regulatory networks in COPD compared to IPF lung tissue. To address these hypotheses, we propose a series
of investigations starting by refining the five known COPD/IPF opposite risk loci and identifying new opposite risk
loci using expanded COPD and IPF GWASs and TOPMed WGS data. Next, we will perform joint single nucleus
Assay for Transposase-Accessible Chromatin sequencing (snATAC-seq) and snRNA-seq in COPD and IPF lung
tissue from the Lung Tissue Research Consortium (LTRC) to predict the disease-specific and lung cell-type-
specific regulatory elements and effector genes at each of the COPD/IPF opposite risk loci. We will use CRISPR
interference genome editing in implicated cell types to functionally validated predicted relationships of regulatory
elements to effector genes. Next, we will generate microRNA sequencing data in IPF lung tissue from the LTRC
and build disease-specific gene regulatory networks integrating genetic, microRNA, and RNA data at each
opposite risk locus. We will highlight therapeutic opportunities by assessing these gene regulatory networks for
drug-related pathway enrichment. We will then examine the COPD- and IPF-related cellular phenotypes that
result from perturbations (CRISPR interference, CRISPR activation, and microRNA targeting) of the genes in
the opposite risk loci gene regulatory networks. This study will help define the pathobiology and improve our
understanding of the susceptibility for the two most deadly chronic lung diseases."
"CIDECIYAN, ARTUR V",,Photoreceptor Disease in Inherited Retinal Degenerations,572025,,2026-02-12T00:00:00,"PROJECT SUMMARY / ABSTRACT
Loss of eyesight is regarded among the worst possible diseases by most Americans. Despite being rare
causes of vision loss, inherited retinal diseases (IRDs) are molecularly simple single-gene defects, and
advances in genetics and genomics have raised hopes for the development of gene-based treatments. For
most IRDs, the natural history of disease involves progressive vision loss and successful interventions must
demonstrate a clinically meaningful slowing of the natural progression. Many good metrics have been
developed to measure vision loss but the continued lack of approved IRD treatments strongly suggest better
outcome measures are still needed. The long-term objective of the research is to predict retinal locations
maximally vulnerable to progression over the next 2 years individualized for each patient across distinct IRDs.
Successful predictions of loci of vulnerability will drive reliable measurements of functional and/or anatomical
changes over the duration of typical clinical trials. The focus of the current project is on two human IRDs that
remain without approved treatments – autosomal dominant retinitis pigmentosa caused by RHO mutations
(RHO-ADRP) and Stargardt disease caused by ABCA4 mutations (ABCA4-STGD). Average tendencies for
spatio-temporal progression in both diseases are well investigated. However, the reliable and individualized
prediction of the photoreceptor locations maximally vulnerable to fast progression remains a major challenge.
Current literature and preliminary studies support the hypothesis that retinal cross-sectional structure at each
location when considered together with the structure of its immediate neighborhood retains enough information
to predict vulnerability to disease progression. The current project will involve a combination of retrospective
longitudinal and prospective longitudinal studies that operate on different spatial scales and structure/function
dimensions, to test the hypothesis and provide a more complete understanding of the range of photoreceptor
vulnerability to disease progression in IRDs. Aim 1 will first use a unique existing data set obtained serially in
RHO-ADRP patients and train an artificial intelligence (AI) model to learn input OCT features that correspond
to disease progression. Trained AI will be applied to another unique existing data set obtained in ABCA4-
STGD patients. With special attention to heterogenous transition zones, retinal locations maximally vulnerable
will be mapped and validated against serial data. Aims 2 and 3 will use prospective serial studies in ABCA4-
STGD to test predictions directly with en face imaging, ultra-wide angle OCT recordings, microperimetric
evaluation of rod- and cone-specific light sensitivities, and novel adaptive-optics OCT imaging of the outer
retina. The project should provide novel insight into the interaction of human photoreceptors with their diseased
neighbors and allow optimum localization of visual function measurements to provide individualized and
sensitive outcome measures for ABCA4-STGD clinical trials."
